"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Residential / Composite","Lower Mainland","$ 1,093,000","331.2","-0.9 %","-6.2 %","-11.7 %","2.1 %","33.8 %","16.3 %","88.1 %"
"","Greater Vancouver","$ 1,148,900","324.5","-0.6 %","-4.8 %","-9.2 %","2.1 %","27.8 %","9.6 %","77.2 %"
"","Bowen Island","$ 1,412,000","297.7","-2.7 %","-12.8 %","-15.6 %","-0.4 %","52.0 %","54.3 %","143.2 %"
"","Burnaby East","$ 1,125,900","352.3","1.1 %","-2.4 %","-7.7 %","6.3 %","27.0 %","15.9 %","95.6 %"
"","Burnaby North","$ 994,400","330.5","-0.3 %","-5.4 %","-7.6 %","4.8 %","28.2 %","12.1 %","97.7 %"
"","Burnaby South","$ 1,064,300","332.9","-0.3 %","-3.3 %","-10.3 %","4.4 %","23.2 %","11.8 %","89.5 %"
"","Coquitlam","$ 1,074,200","334.3","-1.2 %","-5.3 %","-11.5 %","3.6 %","35.4 %","23.3 %","107.8 %"
"","Ladner","$ 1,110,600","321.9","0.6 %","-5.0 %","-10.0 %","4.3 %","43.1 %","24.8 %","110.9 %"
"","Maple Ridge","$ 941,200","324.8","-2.3 %","-9.6 %","-17.3 %","-1.0 %","44.9 %","40.0 %","141.8 %"
"","New Westminster","$ 809,800","364.3","0.2 %","-2.9 %","-6.5 %","7.4 %","33.6 %","27.1 %","111.9 %"
"","North Vancouver","$ 1,330,800","306.6","0.8 %","-5.6 %","-10.1 %","2.0 %","27.1 %","11.5 %","92.0 %"
"","Pitt Meadows","$ 873,100","341.5","-2.7 %","-8.6 %","-15.4 %","1.1 %","42.7 %","39.2 %","140.8 %"
"","Port Coquitlam","$ 911,000","350.8","-0.1 %","-3.7 %","-12.1 %","5.7 %","44.0 %","37.1 %","134.3 %"
"","Port Moody","$ 1,117,500","352.2","-2.0 %","-6.7 %","-8.6 %","7.6 %","44.2 %","30.2 %","137.5 %"
"","Richmond","$ 1,121,200","366.5","-0.9 %","-3.5 %","-6.6 %","5.0 %","30.5 %","10.6 %","85.5 %"
"","Squamish","$ 1,076,600","353.9","-0.6 %","-9.5 %","-8.4 %","2.7 %","37.2 %","42.9 %","161.0 %"
"","Sunshine Coast","$ 835,900","307.9","-3.3 %","-9.2 %","-10.9 %","4.1 %","48.9 %","56.5 %","149.5 %"
"","Tsawwassen","$ 1,218,400","317.5","0.2 %","-3.1 %","-9.4 %","5.7 %","36.8 %","18.7 %","102.7 %"
"","Vancouver East","$ 1,127,300","350.4","-1.6 %","-5.8 %","-10.0 %","0.4 %","24.3 %","9.1 %","85.2 %"
"","Vancouver West","$ 1,276,800","299.6","-0.3 %","-2.9 %","-7.7 %","-2.2 %","12.3 %","-10.3 %","46.1 %"
"","West Vancouver","$ 2,732,300","295.1","1.1 %","-2.8 %","-3.8 %","1.8 %","25.5 %","-2.9 %","61.1 %"
"","Whistler","$ 1,419,700","312.7","0.4 %","-9.0 %","-7.2 %","2.7 %","42.7 %","57.8 %","163.2 %"
"Single Family Detached","Lower Mainland","$ 1,685,100","369.0","-1.1 %","-7.2 %","-13.3 %","0.8 %","37.2 %","21.1 %","100.9 %"
"","Greater Vancouver","$ 1,892,100","352.3","-0.7 %","-5.4 %","-10.0 %","1.6 %","31.2 %","11.0 %","81.9 %"
"","Bowen Island","$ 1,412,600","297.7","-2.7 %","-12.7 %","-15.5 %","-0.3 %","52.0 %","54.4 %","143.4 %"
"","Burnaby East","$ 1,826,700","388.5","2.3 %","1.2 %","-7.6 %","7.6 %","35.6 %","26.4 %","122.4 %"
"","Burnaby North","$ 1,946,300","371.9","-0.6 %","-6.3 %","-8.4 %","7.1 %","33.7 %","16.0 %","109.3 %"
"","Burnaby South","$ 2,067,300","384.0","-0.6 %","-1.9 %","-11.6 %","5.1 %","28.5 %","11.7 %","101.5 %"
"","Coquitlam","$ 1,750,400","400.5","-1.6 %","-5.5 %","-10.8 %","5.1 %","45.7 %","34.4 %","144.1 %"
"","Ladner","$ 1,354,900","327.2","-0.1 %","-7.2 %","-12.5 %","1.0 %","46.9 %","25.1 %","114.1 %"
"","Maple Ridge","$ 1,199,900","350.8","-2.4 %","-10.7 %","-18.4 %","-2.7 %","46.5 %","47.1 %","156.1 %"
"","New Westminster","$ 1,497,400","374.3","1.1 %","0.7 %","-7.6 %","6.4 %","41.8 %","29.6 %","120.3 %"
"","North Vancouver","$ 2,124,600","331.4","1.5 %","-6.7 %","-11.2 %","0.8 %","29.9 %","14.9 %","109.2 %"
"","Pitt Meadows","$ 1,189,400","351.4","-4.2 %","-10.9 %","-19.2 %","-6.9 %","41.3 %","38.9 %","142.0 %"
"","Port Coquitlam","$ 1,313,100","371.1","-0.1 %","-5.9 %","-14.7 %","2.9 %","46.0 %","39.3 %","148.2 %"
"","Port Moody","$ 2,029,800","384.4","-2.1 %","-7.0 %","-8.5 %","8.4 %","46.4 %","33.1 %","145.0 %"
"","Richmond","$ 2,053,800","419.2","-1.3 %","-3.6 %","-6.5 %","4.2 %","30.4 %","13.7 %","100.3 %"
"","Squamish","$ 1,685,700","418.0","1.6 %","-5.7 %","-4.6 %","5.8 %","50.8 %","57.1 %","229.4 %"
"","Sunshine Coast","$ 917,000","319.7","-3.1 %","-8.0 %","-10.8 %","5.4 %","55.4 %","62.5 %","158.0 %"
"","Tsawwassen","$ 1,536,100","340.2","-0.3 %","-3.7 %","-11.2 %","3.9 %","43.1 %","26.0 %","119.3 %"
"","Vancouver East","$ 1,719,100","384.7","-1.3 %","-5.7 %","-11.5 %","0.6 %","26.4 %","13.1 %","105.0 %"
"","Vancouver West","$ 3,188,400","332.7","-2.1 %","-5.7 %","-9.8 %","-5.1 %","10.5 %","-10.5 %","53.0 %"
"","West Vancouver","$ 3,317,500","308.5","1.6 %","-1.8 %","-2.1 %","3.1 %","26.5 %","0.7 %","68.5 %"
"","Whistler","$ 2,639,400","356.4","2.0 %","-5.9 %","-4.0 %","7.0 %","55.4 %","59.0 %","192.9 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 927,900","351.1","-1.0 %","-6.1 %","-10.9 %","7.5 %","39.0 %","36.6 %","127.8 %"
"","Greater Vancouver","$ 1,043,600","359.5","-0.5 %","-4.8 %","-9.1 %","7.1 %","34.1 %","30.4 %","124.0 %"
"","Burnaby East","$ 840,300","353.8","-1.5 %","-7.0 %","-5.3 %","10.6 %","26.3 %","27.4 %","112.1 %"
"","Burnaby North","$ 879,500","357.1","-1.8 %","-6.7 %","-7.7 %","9.2 %","27.0 %","29.8 %","124.2 %"
"","Burnaby South","$ 942,300","350.2","-1.3 %","-4.8 %","-10.4 %","6.0 %","22.1 %","24.3 %","115.2 %"
"","Coquitlam","$ 1,014,600","393.0","-1.7 %","-6.1 %","-11.7 %","7.8 %","42.5 %","40.5 %","151.6 %"
"","Ladner","$ 941,100","361.4","2.4 %","-3.4 %","-8.3 %","6.6 %","33.0 %","30.4 %","125.6 %"
"","Maple Ridge","$ 732,700","364.0","-2.4 %","-7.6 %","-17.0 %","3.3 %","41.0 %","41.4 %","165.3 %"
"","New Westminster","$ 917,500","390.6","1.6 %","-2.9 %","-3.6 %","13.1 %","41.4 %","39.8 %","132.4 %"
"","North Vancouver","$ 1,230,600","334.2","0.8 %","-7.9 %","-11.2 %","4.5 %","34.3 %","28.4 %","125.5 %"
"","Pitt Meadows","$ 818,700","396.7","0.0 %","-4.2 %","-11.1 %","9.5 %","43.1 %","50.2 %","171.2 %"
"","Port Coquitlam","$ 892,300","357.3","-2.0 %","-2.5 %","-13.5 %","6.1 %","42.1 %","37.3 %","151.4 %"
"","Port Moody","$ 1,021,600","387.9","-2.0 %","-8.9 %","-10.1 %","9.9 %","43.6 %","47.8 %","154.5 %"
"","Richmond","$ 1,059,300","379.9","0.7 %","-1.9 %","-6.1 %","10.5 %","35.8 %","28.9 %","118.6 %"
"","Squamish","$ 992,000","357.6","-1.3 %","-8.0 %","-9.3 %","5.4 %","39.9 %","44.0 %","187.7 %"
"","Sunshine Coast","$ 718,500","325.9","-0.7 %","-7.1 %","-8.9 %","6.5 %","43.4 %","49.0 %","166.3 %"
"","Tsawwassen","$ 952,600","298.9","2.1 %","-3.7 %","-8.2 %","6.2 %","18.5 %","7.6 %","82.8 %"
"","Vancouver East","$ 1,028,500","336.8","-3.9 %","-10.6 %","-10.9 %","-2.1 %","21.3 %","14.1 %","95.8 %"
"","Vancouver West","$ 1,477,700","330.4","1.5 %","1.0 %","-4.6 %","6.7 %","24.1 %","15.0 %","100.6 %"
"","Whistler","$ 1,417,200","361.3","-1.7 %","-7.8 %","-9.5 %","8.2 %","45.7 %","59.2 %","202.8 %"
"Apartment","Lower Mainland","$ 678,800","336.4","-0.2 %","-3.9 %","-7.1 %","6.4 %","24.6 %","20.4 %","105.7 %"
"","Greater Vancouver","$ 727,100","332.2","-0.2 %","-3.7 %","-6.3 %","5.1 %","20.4 %","17.3 %","102.7 %"
"","Burnaby East","$ 771,200","323.9","0.6 %","-5.3 %","-8.6 %","5.2 %","19.8 %","19.5 %","91.0 %"
"","Burnaby North","$ 711,900","359.4","0.6 %","-3.1 %","-4.4 %","8.0 %","30.6 %","30.5 %","123.4 %"
"","Burnaby South","$ 751,600","357.7","0.2 %","-3.5 %","-7.0 %","6.8 %","20.5 %","21.0 %","112.9 %"
"","Coquitlam","$ 665,000","377.2","0.5 %","-2.3 %","-8.0 %","7.8 %","26.2 %","29.9 %","145.4 %"
"","Ladner","$ 717,100","364.8","1.2 %","1.8 %","-1.9 %","14.1 %","51.6 %","51.7 %","146.0 %"
"","Maple Ridge","$ 525,500","362.9","-2.0 %","-5.9 %","-8.4 %","11.6 %","40.8 %","51.6 %","164.1 %"
"","New Westminster","$ 632,200","379.0","-0.3 %","-4.4 %","-6.0 %","8.4 %","25.2 %","28.4 %","127.8 %"
"","North Vancouver","$ 780,400","311.7","-0.9 %","-2.8 %","-5.9 %","7.9 %","23.4 %","19.8 %","113.2 %"
"","Pitt Meadows","$ 594,600","400.9","-1.5 %","-5.9 %","-9.0 %","10.6 %","34.9 %","42.8 %","172.2 %"
"","Port Coquitlam","$ 610,200","414.8","1.0 %","-2.6 %","-7.5 %","10.8 %","37.2 %","42.4 %","166.4 %"
"","Port Moody","$ 699,000","372.6","-1.6 %","-3.8 %","-7.4 %","4.1 %","25.2 %","30.2 %","151.6 %"
"","Richmond","$ 699,600","378.0","-0.6 %","-3.4 %","-4.5 %","7.1 %","25.6 %","25.9 %","116.6 %"
"","Squamish","$ 532,900","316.1","-7.3 %","-20.7 %","-15.6 %","-9.1 %","12.1 %","35.7 %","148.7 %"
"","Sunshine Coast","$ 506,100","290.0","-6.6 %","-22.3 %","-16.6 %","-12.1 %","4.1 %","19.8 %","93.1 %"
"","Tsawwassen","$ 741,000","345.9","1.1 %","1.2 %","-1.6 %","13.4 %","36.8 %","33.1 %","130.1 %"
"","Vancouver East","$ 678,900","388.8","-1.2 %","-5.7 %","-6.9 %","2.6 %","15.8 %","12.7 %","108.7 %"
"","Vancouver West","$ 827,700","312.5","0.7 %","-1.9 %","-5.9 %","2.1 %","12.1 %","5.2 %","90.1 %"
"","West Vancouver","$ 1,193,200","233.0","0.0 %","-4.0 %","-9.8 %","3.4 %","8.9 %","2.0 %","63.6 %"
"","Whistler","$ 603,900","260.3","-5.2 %","-20.4 %","-14.1 %","-8.0 %","17.6 %","47.0 %","130.4 %"
